config,kappa,com_ratio,mu,rank,freq,hip_phi,leg_amp,hip_amp,hip_off,survived,net_fwd_speed,n_samples,e_pos_J,e_abs_J,d_fwd_m,cot_pos,single_frac_t,double_frac_t,air_frac_t,roll_mean_deg,roll_rms_deg,pitch_mean_deg,pitch_rms_deg,yaw_mean_deg,yaw_rms_deg,com_x_rms_mm,com_y_rms_mm,com_z_mean_mm,com_z_rms_mm,r_roll_com_x,r_roll_com_y,r_roll_com_z,r_roll_pitch,r_roll_yaw
c1,0.0,1.05,0.5,13,1.96,300.0,125.0,28.0,10.0,1,0.3027,1445,160.23,224.229,3.9346,1.827,0.7862,0.0014,0.2125,1.082,14.716,-8.847,11.857,-3.105,9.379,15.47,6.2,106.51,106.65,-0.9802,-0.4143,-0.1123,-0.9371,-0.4548
c1,0.0,1.05,0.5,14,1.97,300.0,125.0,28.0,10.0,1,0.2937,1445,162.013,226.975,3.8177,1.904,0.7875,0.0,0.2125,1.211,14.713,-8.63,11.783,-3.867,10.405,15.51,6.38,106.51,106.64,-0.9802,-0.3559,-0.1114,-0.9129,-0.3425
c1,0.0,1.05,0.5,15,1.94,300.0,125.0,28.0,10.0,1,0.2991,1445,155.864,217.691,3.8878,1.798,0.7917,0.0014,0.2069,1.246,14.759,-8.893,11.901,-2.69,9.329,15.5,6.04,106.55,106.68,-0.9802,-0.4108,-0.1155,-0.9381,-0.4551
c1,0.0,1.05,0.5,16,1.9,0.0,125.0,28.0,20.0,1,0.3143,1445,149.029,204.336,4.0853,1.636,0.7273,0.0028,0.2699,0.321,17.659,-6.693,10.721,-1.938,7.152,17.39,7.52,102.16,102.2,-0.978,-0.2404,-0.056,-0.7726,-0.744
c1,0.0,1.05,0.5,17,1.86,0.0,125.0,28.0,20.0,1,0.0128,1445,142.046,194.466,0.1668,38.207,0.7246,0.0021,0.2734,1.105,17.886,-6.666,11.084,-74.382,82.154,17.63,7.74,102.07,102.11,-0.9782,-0.0994,-0.1386,-0.8062,-0.0878
c1,0.0,1.05,0.5,18,1.91,10.0,125.0,28.0,20.0,1,0.2998,1445,149.047,205.942,3.8971,1.716,0.7183,0.0,0.2817,2.267,17.314,-4.668,9.933,-0.954,5.903,17.55,4.1,102.43,102.45,-0.9804,0.1577,-0.2038,-0.7797,-0.8796
c1,0.0,1.05,0.5,19,1.95,340.0,115.0,28.0,10.0,1,0.2911,1445,134.73,181.43,3.7846,1.597,0.746,0.0,0.254,1.368,15.514,-6.166,10.436,-7.497,10.147,16.54,3.41,104.75,104.81,-0.9842,-0.1032,-0.1202,-0.8722,-0.7497
c1,0.0,1.05,0.5,20,1.94,10.0,125.0,28.0,20.0,1,0.3172,1445,154.13,214.112,4.1233,1.677,0.7073,0.0,0.2927,1.396,17.204,-4.971,9.894,-0.717,5.66,17.48,4.43,102.47,102.49,-0.9795,-0.019,-0.1283,-0.7548,-0.8805
c1,0.0,1.05,0.7,1,1.87,350.0,125.0,28.0,50.0,1,0.1928,1445,190.049,296.676,2.5064,3.401,0.8242,0.0021,0.1737,1.958,19.757,-10.26,13.514,10.957,24.347,12.1,20.48,86.57,86.63,-0.786,-0.1791,-0.0574,-0.746,-0.5221
c1,0.0,1.05,0.7,2,1.72,330.0,85.0,28.0,20.0,1,0.135,1445,70.52,85.027,1.7556,1.802,0.9792,0.0014,0.0194,0.745,15.352,-6.818,10.651,33.241,34.642,13.12,6.62,97.08,97.12,-0.9802,-0.3377,-0.0772,-0.8243,-0.6288
c1,0.0,1.05,0.7,3,1.83,280.0,85.0,28.0,20.0,1,0.0604,1445,73.747,99.602,0.7855,4.211,0.7446,0.2332,0.0221,-0.269,10.776,-5.617,11.263,35.3,85.55,9.49,9.08,97.7,97.75,-0.9585,-0.0718,-0.1822,-0.7092,0.0097
c1,0.0,1.05,0.7,4,1.75,250.0,105.0,28.0,30.0,1,0.1484,1445,84.855,121.817,1.9292,1.973,0.6131,0.3841,0.0028,-1.225,8.065,-4.089,8.036,24.668,32.372,6.66,6.35,96.81,96.88,-0.932,-0.6516,-0.1589,-0.4204,-0.2614
